subject,region,grade_class,year,grade,degree_type
金融、应用统计、税务、国际商务、保险、资产评估,A类,总分,2020,343,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科=100分,2020,48,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科>100分,2020,72,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,总分,2020,333,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科=100分,2020,45,专硕
金融、应用统计、税务、国际商务、保险、资产评估,A类,单科>100分,2020,68,专硕
审计,A类,总分,2020,175,专硕
审计,A类,单科=100分,2020,44,专硕
审计,A类,单科>100分,2020,88,专硕
审计,B类,总分,2020,165,专硕
审计,B类,单科=100分,2020,39,专硕
审计,B类,单科>100分,2020,78,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,总分,2020,325,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科=100分,2020,46,专硕
法律(非法学)、法律(法学)、社会工作、警务,A类,单科>100分,2020,69,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,总分,2020,315,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,单科=100分,2020,43,专硕
法律(非法学)、法律(法学)、社会工作、警务,B类,单科>100分,2020,65,专硕
教育、汉语国际教育,A类,总分,2020,331,专硕
教育、汉语国际教育,A类,单科=100分,2020,46,专硕
教育、汉语国际教育,A类,单科>100分,2020,69,专硕
教育、汉语国际教育,B类,总分,2020,321,专硕
教育、汉语国际教育,B类,单科=100分,2020,43,专硕
教育、汉语国际教育,B类,单科>100分,2020,65,专硕
应用心理,A类,总分,2020,331,专硕
应用心理,A类,单科=100分,2020,46,专硕
应用心理,A类,单科>100分,2020,138,专硕
应用心理,B类,总分,2020,321,专硕
应用心理,B类,单科=100分,2020,43,专硕
应用心理,B类,单科>100分,2020,129,专硕
体育,A类,总分,2020,277,专硕
体育,A类,单科=100分,2020,35,专硕
体育,A类,单科>100分,2020,105,专硕
体育,B类,总分,2020,267,专硕
体育,B类,单科=100分,2020,32,专硕
体育,B类,单科>100分,2020,96,专硕
翻译、新闻与传播、出版,A类,总分,2020,355,专硕
翻译、新闻与传播、出版,A类,单科=100分,2020,52,专硕
翻译、新闻与传播、出版,A类,单科>100分,2020,78,专硕
翻译、新闻与传播、出版,B类,总分,2020,345,专硕
翻译、新闻与传播、出版,B类,单科=100分,2020,49,专硕
翻译、新闻与传播、出版,B类,单科>100分,2020,74,专硕
文物与博物馆,A类,总分,2020,324,专硕
文物与博物馆,A类,单科=100分,2020,44,专硕
文物与博物馆,A类,单科>100分,2020,132,专硕
文物与博物馆,B类,总分,2020,314,专硕
文物与博物馆,B类,单科=100分,2020,41,专硕
文物与博物馆,B类,单科>100分,2020,123,专硕
建筑学、城市规划、电子信息、机械、材料与化工、资源与环境、能源动力、土木水利、生物与医药、交通运输,A类,总分,2020,264,专硕
建筑学、城市规划、电子信息、机械、材料与化工、资源与环境、能源动力、土木水利、生物与医药、交通运输,A类,单科=100分,2020,37,专硕
建筑学、城市规划、电子信息、机械、材料与化工、资源与环境、能源动力、土木水利、生物与医药、交通运输,A类,单科>100分,2020,56,专硕
建筑学、城市规划、电子信息、机械、材料与化工、资源与环境、能源动力、土木水利、生物与医药、交通运输,B类,总分,2020,254,专硕
建筑学、城市规划、电子信息、机械、材料与化工、资源与环境、能源动力、土木水利、生物与医药、交通运输,B类,单科=100分,2020,34,专硕
建筑学、城市规划、电子信息、机械、材料与化工、资源与环境、能源动力、土木水利、生物与医药、交通运输,B类,单科>100分,2020,51,专硕
农业、兽医、风景园林、林业,A类,总分,2020,253,专硕
农业、兽医、风景园林、林业,A类,单科=100分,2020,33,专硕
农业、兽医、风景园林、林业,A类,单科>100分,2020,50,专硕
农业、兽医、风景园林、林业,B类,总分,2020,243,专硕
农业、兽医、风景园林、林业,B类,单科=100分,2020,30,专硕
农业、兽医、风景园林、林业,B类,单科>100分,2020,45,专硕
临床医学、口腔医学、公共卫生、护理、药学、中药学,A类,总分,2020,300,专硕
临床医学、口腔医学、公共卫生、护理、药学、中药学,A类,单科=100分,2020,42,专硕
临床医学、口腔医学、公共卫生、护理、药学、中药学,A类,单科>100分,2020,126,专硕
临床医学、口腔医学、公共卫生、护理、药学、中药学,B类,总分,2020,290,专硕
临床医学、口腔医学、公共卫生、护理、药学、中药学,B类,单科=100分,2020,39,专硕
临床医学、口腔医学、公共卫生、护理、药学、中药学,B类,单科>100分,2020,117,专硕
中医,A类,总分,2020,300,专硕
中医,A类,单科=100分,2020,41,专硕
中医,A类,单科>100分,2020,123,专硕
中医,B类,总分,2020,290,专硕
中医,B类,单科=100分,2020,38,专硕
中医,B类,单科>100分,2020,114,专硕
军事,A类,总分,2020,265,专硕
军事,A类,单科=100分,2020,37,专硕
军事,A类,单科>100分,2020,56,专硕
军事,B类,总分,2020,255,专硕
军事,B类,单科=100分,2020,34,专硕
军事,B类,单科>100分,2020,51,专硕
工商管理、公共管理、会计、旅游管理、图书情报、工程管理,A类,总分,2020,175,专硕
工商管理、公共管理、会计、旅游管理、图书情报、工程管理,A类,单科=100分,2020,44,专硕
工商管理、公共管理、会计、旅游管理、图书情报、工程管理,A类,单科>100分,2020,88,专硕
工商管理、公共管理、会计、旅游管理、图书情报、工程管理,B类,总分,2020,165,专硕
工商管理、公共管理、会计、旅游管理、图书情报、工程管理,B类,单科=100分,2020,39,专硕
工商管理、公共管理、会计、旅游管理、图书情报、工程管理,B类,单科>100分,2020,78,专硕
艺术,A类,总分,2020,347,专硕
艺术,A类,单科=100分,2020,38,专硕
艺术,A类,单科>100分,2020,57,专硕
艺术,B类,总分,2020,337,专硕
艺术,B类,单科=100分,2020,35,专硕
艺术,B类,单科>100分,2020,53,专硕
享受少数民族政策的考生,A类,总分,2020,248,专硕
享受少数民族政策的考生,A类,单科=100分,2020,30,专硕
享受少数民族政策的考生,A类,单科>100分,2020,45,专硕
享受少数民族政策的考生,B类,总分,2020,248,专硕
享受少数民族政策的考生,B类,单科=100分,2020,30,专硕
享受少数民族政策的考生,B类,单科>100分,2020,45,专硕
